gripper_pos,direction_num,distance
-2.347571488,1,3.4050000000000002
-2.346635308,1,3.4206000000000003
-2.345702889,1,3.4375999999999998
-2.344777989,1,3.4549999999999996
-2.343843689,1,3.4732
-2.342915029,1,3.4905999999999997
-2.341986369,1,3.5064
-2.34105019,1,3.5241999999999996
-2.34011213,1,3.5409999999999995
-2.339175951,1,3.5561999999999996
-2.338243531,1,3.5730000000000004
-2.337305472,1,3.5875999999999997
-2.336373052,1,3.6046
-2.335434993,1,3.6217999999999995
-2.334502573,1,3.6382
-2.333566394,1,3.6561999999999997
-2.332628334,1,3.6726
-2.331695915,1,3.6944000000000004
-2.330754096,1,3.7095999999999996
-2.329823556,1,3.7268
-2.328885496,1,3.7456000000000005
-2.327947437,1,3.7622
-2.327003738,1,3.7748000000000004
-2.326060039,1,3.7946
-2.32512386,1,3.8164000000000002
-2.32418768,1,3.8338
-2.323245861,1,3.8503999999999996
-2.322307802,1,3.8682000000000003
-2.321367863,1,3.8890000000000002
-2.320426044,1,3.9078000000000004
-2.319491744,1,3.9373999999999993
-2.318549925,1,3.9727999999999994
-2.317617505,1,3.9866
-2.316683206,1,3.9971999999999994
-2.315741387,1,4.012600000000001
-2.314803327,1,4.0316
-2.313859628,1,4.048
-2.312925329,1,4.059399999999999
-2.311992909,1,4.0798000000000005
-2.311058609,1,4.1046
-2.310135589,1,4.1240000000000006
-2.309205049,1,4.1370000000000005
-2.30827075,1,4.156000000000001
-2.30734397,1,4.1756
-2.306402151,1,4.1974
-2.305469731,1,4.2128
-2.304535431,1,4.2334000000000005
-2.303593612,1,4.253
-2.302661193,1,4.2706
-2.301738172,1,4.2829999999999995
-2.300805753,1,4.3022
-2.299871453,1,4.323
-2.298939033,1,4.3388
-2.298008493,1,4.3442
-2.297081713,1,4.3664000000000005
-2.296153053,1,4.3844
-2.295224394,1,4.3902
-2.294293854,1,4.401999999999999
-2.293361434,1,4.415000000000001
-2.292436534,1,4.4316
-2.291507874,1,4.450799999999999
-2.290573574,1,4.470000000000001
-2.289639275,1,4.4884
-2.288706855,1,4.5132
-2.287778195,1,4.5324
-2.286849535,1,4.547
-2.285915236,1,4.5636
-2.284984696,1,4.587
-2.284061675,1,4.6046000000000005
-2.283133016,1,4.6206000000000005
-2.282204356,1,4.641800000000001
-2.281277576,1,4.6572000000000005
-2.280343276,1,4.6796
-2.279410856,1,4.7004
-2.278474677,1,4.7182
-2.277536617,1,4.7256
-2.276589159,1,4.7379999999999995
-2.275658619,1,4.75
-2.27471868,1,4.765
-2.27378626,1,4.781599999999999
-2.272850081,1,4.800800000000001
-2.271913901,1,4.819999999999999
-2.270990881,1,4.837400000000001
-2.270058461,1,4.8556
-2.269120402,1,4.8778
-2.268191742,1,4.893600000000001
-2.267255562,1,4.9146
-2.266309984,1,4.9336
-2.265371924,1,4.952600000000001
-2.264424466,1,4.972799999999999
-2.263486406,1,4.9946
-2.262538947,1,5.016
-2.261595249,1,5.0334
-2.26064403,1,5.054599999999999
-2.259694691,1,5.0694
-2.258745353,1,5.0926
-2.257803534,1,5.113
-2.256856075,1,5.111200000000001
-2.255910496,1,5.1152
-2.254957398,1,5.139200000000001
-2.254004299,1,5.1644
-2.253051201,1,5.1838
-2.252092463,1,5.200200000000001
-2.251145004,1,5.2248
-2.250193786,1,5.2432
-2.249244447,1,5.264799999999999
-2.24828195,1,5.282
-2.247325091,1,5.2988
-2.246368233,1,5.319
-2.245418895,1,5.343
-2.244467676,1,5.362
-2.243516458,1,5.3786
-2.242570879,1,5.3995999999999995
-2.241617781,1,5.42
-2.240672202,1,5.436400000000001
-2.239730383,1,5.4546
-2.238781044,1,5.4744
-2.237837345,1,5.4856
-2.236895526,1,5.494200000000001
-2.235951827,1,5.518199999999999
-2.235008128,1,5.5388
-2.234064429,1,5.5584
-2.23312073,1,5.5812
-2.232173271,1,5.6018
-2.231244611,1,5.6138
-2.230314072,1,5.6259999999999994
-2.229368493,1,5.64
-2.228432313,1,5.6638
-2.227496134,1,5.6766
-2.226558075,1,5.6902
-2.225620015,1,5.706
-2.224689475,1,5.7268
-2.223745776,1,5.7638
-2.222818996,1,5.8012
-2.221882817,1,5.8225999999999996
-2.220952277,1,5.8422
-2.220019857,1,5.8602
-2.219076158,1,5.8766
-2.21813058,1,5.8828000000000005
-2.217186881,1,5.895
-2.216241302,1,5.9113999999999995
-2.215295723,1,5.9342
-2.214350144,1,5.9556
-2.213406445,1,5.9748
-2.212460866,1,5.9942
-2.211511528,1,6.0152
-2.210567829,1,6.0332
-2.20961849,1,6.051399999999999
-2.208674791,1,6.0698
-2.207734852,1,6.090400000000001
-2.206787393,1,6.1112
-2.205841814,1,6.131400000000001
-2.204896236,1,6.1506
-2.203952537,1,6.1676
-2.203008838,1,6.1898
-2.202068898,1,6.2082
-2.20111956,1,6.2268
-2.200177741,1,6.247199999999999
-2.199235922,1,6.268
-2.198295982,1,6.2836
-2.197359803,1,6.2989999999999995
-2.196429263,1,6.308
-2.195487444,1,6.325799999999999
-2.194549385,1,6.3469999999999995
-2.193611325,1,6.3671999999999995
-2.192667626,1,6.386
-2.191733327,1,6.4086
-2.190799027,1,6.429399999999999
-2.189855328,1,6.448600000000001
-2.188913509,1,6.470000000000001
-2.18797921,1,6.4916
-2.18704867,1,6.5128
-2.18611437,1,6.534000000000001
-2.185172551,1,6.5566
-2.184238252,1,6.5762
-2.183298312,1,6.5958
-2.182358373,1,6.6148
-2.181429713,1,6.6370000000000005
-2.180486014,1,6.6584
-2.179549835,1,6.6768
-2.178602376,1,6.695
-2.177654917,1,6.714200000000001
-2.176707459,1,6.7354
-2.17576752,1,6.7578000000000005
-2.17482758,1,6.7774
-2.173876362,1,6.7916
-2.172938303,1,6.814
-2.171992724,1,6.8322
-2.171054664,1,6.853999999999999
-2.170110965,1,6.8788
-2.169169146,1,6.8914
-2.168223567,1,6.894
-2.167281748,1,6.9148
-2.166339929,1,6.9292
-2.16539999,1,6.9544
-2.164450651,1,6.9736
-2.163506952,1,6.9846
-2.162561374,1,7.006600000000001
-2.161612035,1,7.020999999999999
-2.160672096,1,7.0394000000000005
-2.159730277,1,7.0548
-2.158786578,1,7.0692
-2.157835359,1,7.0847999999999995
-2.15688978,1,7.098999999999999
-2.155946082,1,7.119199999999999
-2.155006142,1,7.1354
-2.154053044,1,7.1572000000000005
-2.153099946,1,7.172
-2.152143087,1,7.202800000000001
-2.151191869,1,7.226999999999999
-2.150235011,1,7.247400000000001
-2.149280033,1,7.267799999999999
-2.148334454,1,7.2856
-2.147388875,1,7.3066
-2.146437656,1,7.327600000000001
-2.145492078,1,7.349200000000001
-2.144538979,1,7.3738
-2.143589641,1,7.390599999999999
-2.142636542,1,7.394
-2.141681564,1,7.4098
-2.140728466,1,7.435
-2.139756569,1,7.4552
-2.138784671,1,7.477200000000001
-2.137814654,1,7.5006
-2.136848397,1,7.5264
-2.135885899,1,7.5538
-2.134927161,1,7.5764
